date,state,daily
2009-07-20,Malaysia,1.0
2009-07-21,Malaysia,0.0
2009-07-22,Malaysia,0.0
2009-07-23,Malaysia,0.0
2009-07-24,Malaysia,0.0
2009-07-25,Malaysia,1.0
2009-07-26,Malaysia,0.0
2009-07-27,Malaysia,3.0
2009-07-28,Malaysia,0.0
2009-07-29,Malaysia,0.0
2009-07-30,Malaysia,3.0
2009-07-31,Malaysia,0.0
2009-08-01,Malaysia,4.0
2009-08-02,Malaysia,4.0
2009-08-03,Malaysia,1.0
2009-08-04,Malaysia,0.0
2009-08-05,Malaysia,0.0
2009-08-06,Malaysia,0.0
2009-08-07,Malaysia,0.0
2009-08-08,Malaysia,2.0
2009-08-09,Malaysia,4.0
2009-08-10,Malaysia,2.0
2009-08-11,Malaysia,3.0
2009-08-12,Malaysia,0.0
2009-08-13,Malaysia,1.0
2009-08-14,Malaysia,0.0
2009-08-15,Malaysia,0.0
2009-08-16,Malaysia,0.0
2009-08-17,Malaysia,0.0
2009-08-18,Malaysia,0.0
2009-08-19,Malaysia,0.0
2009-08-20,Malaysia,4.0
2009-08-21,Malaysia,1.0
2009-08-22,Malaysia,0.0
2009-08-23,Malaysia,25.0
2009-08-24,Malaysia,2.0
2009-08-25,Malaysia,0.0
2009-08-26,Malaysia,0.0
2009-08-27,Malaysia,0.0
2009-08-28,Malaysia,1.0
2009-08-29,Malaysia,0.0
2009-08-30,Malaysia,0.0
2009-08-31,Malaysia,0.0
2009-09-01,Malaysia,2.0
2009-09-02,Malaysia,0.0
2009-09-03,Malaysia,1.0
2009-09-04,Malaysia,0.0
2009-09-05,Malaysia,1.0
2009-09-06,Malaysia,0.0
2009-09-07,Malaysia,0.0
2009-09-08,Malaysia,0.0
2009-09-09,Malaysia,8.0
2009-09-10,Malaysia,0.0
2009-09-11,Malaysia,0.0
2009-09-12,Malaysia,12.0
2009-09-13,Malaysia,1.0
2009-09-14,Malaysia,0.0
2009-09-15,Malaysia,0.0
2009-09-16,Malaysia,0.0
2009-09-17,Malaysia,1.0
2009-09-18,Malaysia,0.0
2009-09-19,Malaysia,0.0
2009-09-20,Malaysia,0.0
2009-09-21,Malaysia,2.0
2009-09-22,Malaysia,0.0
2009-09-23,Malaysia,0.0
2009-09-24,Malaysia,3.0
2009-09-25,Malaysia,0.0
2009-09-26,Malaysia,3.0
2009-09-27,Malaysia,5.0
2009-09-28,Malaysia,1.0
2009-09-29,Malaysia,0.0
2009-09-30,Malaysia,0.0
2009-10-01,Malaysia,0.0
2009-10-02,Malaysia,0.0
2009-10-03,Malaysia,0.0
2009-10-04,Malaysia,99.0
2009-10-05,Malaysia,2.0
2009-10-06,Malaysia,0.0
2009-10-07,Malaysia,0.0
2009-10-08,Malaysia,0.0
2009-10-09,Malaysia,0.0
2009-10-10,Malaysia,0.0
2009-10-11,Malaysia,1.0
2009-10-12,Malaysia,1.0
2009-10-13,Malaysia,0.0
2009-10-14,Malaysia,0.0
2009-10-15,Malaysia,0.0
2009-10-16,Malaysia,2.0
2009-10-17,Malaysia,30.0
2009-10-18,Malaysia,0.0
2009-10-19,Malaysia,17.0
2009-10-20,Malaysia,1.0
2009-10-21,Malaysia,2.0
2009-10-22,Malaysia,7.0
2009-10-23,Malaysia,2.0
2009-10-24,Malaysia,2.0
2009-10-25,Malaysia,5.0
2009-10-26,Malaysia,2.0
2009-10-27,Malaysia,0.0
2009-10-28,Malaysia,1.0
2009-10-29,Malaysia,18.0
2009-10-30,Malaysia,7.0
2009-10-31,Malaysia,1.0
2009-11-01,Malaysia,11.0
2009-11-02,Malaysia,0.0
2009-11-03,Malaysia,0.0
2009-11-04,Malaysia,9.0
2009-11-05,Malaysia,3.0
2009-11-06,Malaysia,2.0
2009-11-07,Malaysia,3.0
2009-11-08,Malaysia,0.0
2009-11-09,Malaysia,1.0
2009-11-10,Malaysia,2.0
2009-11-11,Malaysia,5.0
2009-11-12,Malaysia,3.0
2009-11-13,Malaysia,4.0
2009-11-14,Malaysia,23.0
2009-11-15,Malaysia,3.0
2009-11-16,Malaysia,1.0
2009-11-17,Malaysia,1.0
2009-11-18,Malaysia,2.0
2009-11-19,Malaysia,5.0
2009-11-20,Malaysia,2.0
2009-11-21,Malaysia,54.0
2009-11-22,Malaysia,38.0
2009-11-23,Malaysia,4.0
2009-11-24,Malaysia,0.0
2009-11-25,Malaysia,4.0
2009-11-26,Malaysia,1.0
2009-11-27,Malaysia,15.0
2009-11-28,Malaysia,8.0
2009-11-29,Malaysia,7.0
2009-11-30,Malaysia,0.0
2009-12-01,Malaysia,0.0
2009-12-02,Malaysia,4.0
2009-12-03,Malaysia,1.0
2009-12-04,Malaysia,3.0
2009-12-05,Malaysia,1.0
2009-12-06,Malaysia,40.0
2009-12-07,Malaysia,1.0
2009-12-08,Malaysia,22.0
2009-12-09,Malaysia,37.0
2009-12-10,Malaysia,4.0
2009-12-11,Malaysia,4.0
2009-12-12,Malaysia,23.0
2009-12-13,Malaysia,17.0
2009-12-14,Malaysia,3.0
2009-12-15,Malaysia,1.0
2009-12-16,Malaysia,2.0
2009-12-17,Malaysia,3.0
2009-12-18,Malaysia,0.0
2009-12-19,Malaysia,7.0
2009-12-20,Malaysia,23.0
2009-12-21,Malaysia,4.0
2009-12-22,Malaysia,9.0
2009-12-23,Malaysia,2.0
2009-12-24,Malaysia,4.0
